freq	dB(S(2,1))
4.50100000000000033E9	-6.33578559161409949E1
4.51100000000000012E9	-6.35034177989492310E1
4.52099999999999991E9	-6.36483745884948515E1
4.53100000000000058E9	-6.37927315998288513E1
4.54100000000000037E9	-6.39364940776580326E1
4.55100000000000016E9	-6.40796671975828058E1
4.56099999999999994E9	-6.42222560673078569E1
4.57099999999999973E9	-6.43642657278262043E1
4.58100000000000041E9	-6.45057011545776326E1
4.59100000000000019E9	-6.46465672585817686E1
4.60100000000000087E9	-6.47868688875469179E1
4.61099999999999977E9	-6.49266108269549580E1
4.62100000000000044E9	-6.50657978011230220E1
4.63100000000000023E9	-6.52044344742426496E1
4.64100000000000001E9	-6.53425254513966536E1
4.65100000000000069E9	-6.54800752795549634E1
4.66099999999999959E9	-6.56170884485490014E1
4.67100000000000026E9	-6.57535693920261100E1
4.68100000000000005E9	-6.58895224883837738E1
4.69100000000000072E9	-6.60249520616846297E1
4.70100000000000051E9	-6.61598623825525323E1
4.71100000000000030E9	-6.62942576690501006E1
4.72100000000000009E9	-6.64281420875383510E1
4.73099999999999987E9	-6.65615197535188674E1
4.74100000000000055E9	-6.66943947324586617E1
4.75100000000000033E9	-6.68267710405985582E1
4.76100000000000012E9	-6.69586526457450493E1
4.77099999999999991E9	-6.70900434680465274E1
4.78100000000000058E9	-6.72209473807538149E1
4.79100000000000037E9	-6.73513682109655498E1
4.80100000000000016E9	-6.74813097403590412E1
4.81099999999999994E9	-6.76107757059062742E1
4.82099999999999973E9	-6.77397698005763083E1
4.83100000000000041E9	-6.78682956740234733E1
4.84100000000000019E9	-6.79963569332624651E1
4.85100000000000087E9	-6.81239571433302693E1
4.86099999999999977E9	-6.82510998279350911E1
4.87100000000000044E9	-6.83777884700930105E1
4.88100000000000023E9	-6.85040265127522296E1
4.89100000000000001E9	-6.86298173594055338E1
4.90100000000000069E9	-6.87551643746909935E1
4.91099999999999959E9	-6.88800708849812260E1
4.92100000000000026E9	-6.90045401789616619E1
4.93100000000000005E9	-6.91285755081978159E1
4.94100000000000072E9	-6.92521800876919258E1
4.95100000000000051E9	-6.93753570964292088E1
4.96100000000000030E9	-6.94981096779139840E1
