time	Vo
4.95219999999999683E-9	-5.06858337062834341E-8
4.96219999999999928E-9	-5.40538340178886045E-8
4.97219999999999729E-9	-5.67898744422521240E-8
4.98219999999999530E-9	-5.88427515137890023E-8
4.99219999999999775E-9	-6.01720900923072399E-8
5.00000000000000000E-9	-6.06881742695151960E-8
5.00099999999999945E-9	-6.07169118841071054E-8
5.00399999999999956E-9	-6.07684012048525268E-8
5.01300000000000079E-9	-6.05053193835515923E-8
5.02300000000000058E-9	-5.94802658765183168E-8
5.03299999999999947E-9	-5.76947803449367314E-8
5.04299999999999926E-9	-5.51725244725523201E-8
5.05300000000000082E-9	-5.19496013823038894E-8
5.06299999999999883E-9	-4.80738681645930299E-8
5.07299999999999773E-9	-4.36040039880210806E-8
5.08299999999999841E-9	-3.86083569714587682E-8
5.09299999999999820E-9	-3.31635978411229493E-8
5.10299999999999976E-9	-2.73532123376618319E-8
5.11299999999999866E-9	-2.12658674781004686E-8
5.12299999999999844E-9	-1.49936892522036813E-8
5.13299999999999912E-9	-8.63049113884797237E-9
5.14299999999999713E-9	-2.26999376459947921E-9
5.15299999999999780E-9	3.99592416817332108E-9
5.16299999999999759E-9	1.00789049971576117E-8
5.17299999999999649E-9	1.58956851347157846E-8
5.18299999999999805E-9	2.13695293029301903E-8
5.19299999999999518E-9	2.64314972447765317E-8
5.20299999999999585E-9	3.10215186138956200E-8
5.21299999999999653E-9	3.50892565352373165E-8
5.22299999999999720E-9	3.85947454565036896E-8
5.23299999999999521E-9	4.15087943719816366E-8
5.24299999999999677E-9	4.38131522592625888E-8
5.25299999999999478E-9	4.55004384666687933E-8
5.26299999999999546E-9	4.65738465184105088E-8
5.27299999999999436E-9	4.70466350250737708E-8
5.28299999999999592E-9	4.69414239022995439E-8
5.29299999999999393E-9	4.62893179324638204E-8
5.30299999999999372E-9	4.51288829899434507E-8
5.31299999999999439E-9	4.35050030618923067E-8
5.32299999999999329E-9	4.14676484508882659E-8
5.33299999999999219E-9	3.90705870673488409E-8
5.34299999999999287E-9	3.63700713539904630E-8
5.35299999999999354E-9	3.34235330608483983E-8
5.36299999999999244E-9	3.02883168273113146E-8
5.37299999999999223E-9	2.70204814423923301E-8
5.38299999999999201E-9	2.36736949471820157E-8
5.39299999999999091E-9	2.02982466270786643E-8
5.40299999999999248E-9	1.69401955247466840E-8
5.41299999999998960E-9	1.36406713463299778E-8
5.42299999999999116E-9	1.04353394375816610E-8
5.43299999999999006E-9	7.35403688791705079E-9
5.44299999999999073E-9	4.42058197993843116E-9
5.45299999999999052E-9	1.65275444316002162E-9
5.46299999999999031E-9	-9.37560454373159757E-10
5.47299999999998921E-9	-3.34407491459282191E-9
5.48299999999998899E-9	-5.56566315843003423E-9
5.49299999999998967E-9	-7.60580501106904627E-9
5.50299999999998768E-9	-9.47192864871564133E-9
5.51299999999998924E-9	-1.11746748272155871E-8
5.52299999999998814E-9	-1.27271065943570028E-8
5.53299999999998793E-9	-1.41438894976205276E-8
5.54299999999998860E-9	-1.54404674768408468E-8
5.55299999999998661E-9	-1.66322589380485630E-8
5.56299999999998818E-9	-1.77338960790596145E-8
5.57299999999998796E-9	-1.87585286098042925E-8
5.58299999999998686E-9	-1.97172107496234439E-8
5.59299999999998576E-9	-2.06183878166851775E-8
5.60299999999998732E-9	-2.14674957915313991E-8
5.61299999999998800E-9	-2.22666839036779152E-8
5.62299999999998690E-9	-2.30146666105967057E-8
