time	Vo_no_amp
2.63220000000000853E-9	-1.31558251116921454E-11
2.64220000000000965E-9	5.51885455334117037E-12
2.65220000000000899E-9	2.48351172682989230E-11
2.66220000000000967E-9	4.46666889804884271E-11
2.67220000000000946E-9	6.49480483232389805E-11
2.68220000000000969E-9	8.56807025688956969E-11
2.69220000000000947E-9	1.06936135030908996E-10
2.70220000000000971E-9	1.28852002474078642E-10
2.71220000000000994E-9	1.51615014015310967E-10
2.72220000000001061E-9	1.75425018359617302E-10
2.73220000000001129E-9	2.00442071361425622E-10
2.74220000000001018E-9	2.26725696073909733E-10
2.75220000000001086E-9	2.54176604134888073E-10
2.76220000000001020E-9	2.82486846906216105E-10
2.77220000000001132E-9	3.11100132826554443E-10
2.78220000000001111E-9	3.39182792073487871E-10
2.79220000000001134E-9	3.65606756327923543E-10
2.80220000000001157E-9	3.88946984922529548E-10
2.81220000000001180E-9	4.07496117556805881E-10
2.82220000000001248E-9	4.19299217088786236E-10
2.83220000000001182E-9	4.22211397426651835E-10
2.84220000000001205E-9	4.13979274771248296E-10
2.85220000000001228E-9	3.92342260037213286E-10
2.86220000000001296E-9	3.55144456591950375E-10
2.87220000000001274E-9	3.00447379746132226E-10
2.88220000000001297E-9	2.26638630205849623E-10
2.89220000000001320E-9	1.32536865388823721E-10
2.90220000000001388E-9	1.74941236156471502E-11
2.91220000000001367E-9	-1.18506649772432282E-10
2.92220000000001434E-9	-2.74764353860926391E-10
2.93220000000001368E-9	-4.49789273922788002E-10
2.94220000000001480E-9	-6.41255060785049658E-10
2.95220000000001459E-9	-8.45977410215855663E-10
2.96220000000001349E-9	-1.05992198417314443E-9
2.97220000000001505E-9	-1.27824145277335122E-9
2.98220000000001439E-9	-1.49533893804344986E-9
2.99220000000001463E-9	-1.70495519156351993E-9
3.00220000000001486E-9	-1.90028009682676791E-9
3.01220000000001553E-9	-2.07409218879115187E-9
3.02220000000001576E-9	-2.21892887553605789E-9
3.03220000000001599E-9	-2.32728501712238955E-9
3.04220000000001622E-9	-2.39183250878540132E-9
3.05220000000001557E-9	-2.40565192002442485E-9
3.06220000000001535E-9	-2.36246863059690249E-9
3.07220000000001603E-9	-2.25688763785207946E-9
3.08220000000001715E-9	-2.08462178834788192E-9
3.09220000000001694E-9	-1.84270815246781328E-9
3.10220000000001717E-9	-1.52970722484219945E-9
3.11220000000001740E-9	-1.14587879882284938E-9
3.12220000000001718E-9	-6.93326181289292798E-10
3.13220000000001697E-9	-1.76098729214394090E-10
3.14220000000001765E-9	3.99755815887829602E-10
3.15220000000001832E-9	1.02619309051060315E-9
3.16220000000001811E-9	1.69322733589944963E-9
3.17220000000001834E-9	2.38903810748408452E-9
3.18220000000001857E-9	3.10012808293996134E-9
3.19220000000001924E-9	3.81153312095149621E-9
3.20220000000001725E-9	4.50708486014767651E-9
3.21220000000001837E-9	5.16972336546029432E-9
3.22220000000001905E-9	5.78185447268177910E-9
3.23220000000001884E-9	6.32574425613823976E-9
3.24220000000001995E-9	6.78394093589829605E-9
3.25220000000001885E-9	7.13971275532139416E-9
3.26220000000001997E-9	7.37749026386733231E-9
3.27220000000001932E-9	7.48330335425111315E-9
3.28220000000001955E-9	7.44520522485258240E-9
3.29220000000002022E-9	7.25367479451848318E-9
3.30220000000001956E-9	6.90198626663781400E-9
3.31220000000002068E-9	6.38653225324446794E-9
3.32220000000001958E-9	5.70708743803087692E-9
3.33220000000002070E-9	4.86700286366202217E-9
3.34220000000002049E-9	3.87332432284225314E-9
3.35220000000002116E-9	2.73683043974033913E-9
3.36220000000002139E-9	1.47198723644885998E-9
3.37220000000002162E-9	9.68172598840821585E-11
3.38220000000002186E-9	-1.36731733488719120E-9
3.39220000000002209E-9	-2.89601744375859793E-9
3.40220000000002232E-9	-4.46223398606084309E-9
3.41220000000002299E-9	-6.03673501480006180E-9
3.42220000000002234E-9	-7.58864439725095874E-9
